,asin,title,price,imUrl,categories
0,1880241196,Bird Watching For Kids - A Special Publication from Bird Watcher's Digest,4.5,http://ecx.images-amazon.com/images/I/51GhsVrjLCL._SY300_.jpg,[['Amazon Fashion']]
2,5555014597,Top Gear Official Merchandise - Top Gear Baseball Cap,19.5,http://ecx.images-amazon.com/images/I/41PAOE%2BfFWL._SX342_.jpg,[['Amazon Fashion']]
3,7842955883,Blessed By Pope Benedict XVI St Benedict One-decade Rosary with Prayer Card,9.99,http://ecx.images-amazon.com/images/I/41YErZacNmL._SY300_.jpg,[['Amazon Fashion']]
10,989551431X,Italian Black Jade &amp; Gold Plated GF Cross Crucifix Pendant Necklace,3.99,http://ecx.images-amazon.com/images/I/318orCM-tZL._SY300_.jpg,[['Amazon Fashion']]
12,9895517238,44cm Blue Crystal Beads Silver Plated Rosary Necklace Cross Crucifix with Maria Center From the Holy Land,5.99,http://ecx.images-amazon.com/images/I/41mQWZ-Z0QL._SY300_.jpg,[['Amazon Fashion']]
14,9895516967,Hematite Oval Beads Praying Rosary Necklace Silver Plated Jesus Crucifix &amp; Maria and Baby Jesus Icon,3.99,http://ecx.images-amazon.com/images/I/413aZL%2BskQL._SX300_.jpg,[['Amazon Fashion']]
16,9895514468,BLACK WOOD BEADS With SILVER PLATED ROSARY CROSS &amp; HOLY LAND SOIL MARIA ICON - NEW IN BOX,4.99,http://ecx.images-amazon.com/images/I/41qYljqbu8L._SX300_.jpg,[['Amazon Fashion']]
17,9895514328,Italian Dark Green Jade &amp; Gold Plated GF Cross Crucifix Pendant Necklace,3.99,http://ecx.images-amazon.com/images/I/41-f4rzWxhL._SY300_.jpg,[['Amazon Fashion']]
19,9895515332,Crystal Purple Color Glass Beads Praying Bracelet Rosary &amp; Jesus Pewter Crucifix and Jerusalem Cross,0.99,http://ecx.images-amazon.com/images/I/31LcJpLwL3L._SY300_.jpg,[['Amazon Fashion']]
20,9895517092,Saint Bead Elastic Bracelet with Religious Icons,1.49,http://ecx.images-amazon.com/images/I/317VIawx0AL._SX300_.jpg,[['Amazon Fashion']]
21,B00001TPWY,Satin Witch Adult Hat Halloween Costume Accessory,7.91,http://ecx.images-amazon.com/images/I/41VVF3oNjRL._SX342_.jpg,[['Amazon Fashion']]
